#separator:tab
#html:true
#tags column:3
#guid column:4
#deck:Français PT*::Thème 2 Création::Platon
Qu'est-ce qu'un rhapsode, comme Ion d'Éphèse ?	<b>Un récitant professionnel de poésie épique, surtout d'Homère : il ne compose pas, il déclame et commente.</b><br>Il se veut l'interprète de la pensée du poète. Ion revient vainqueur du concours des fêtes d'Asclépios, à Épidaure ; Socrate l'invite à gagner aussi les Panathénées.<br><small>Réf. : <i>Ion</i> 530a-d</small>	platon ion notions theme2-creation	pla-001
Qu'est-ce qu'une technè, et que lui oppose l'<i>Ion</i> ?	<b>Un art : un savoir-faire fondé sur la connaissance d'un objet déterminé.</b><br>L'<i>Ion</i> lui oppose l'inspiration : le talent d'Ion ne vient pas d'un art, mais d'une puissance divine qui le meut.<br><small>Réf. : <i>Ion</i> 532c ; 533d</small>	platon ion notions theme2-creation	pla-002
Selon l'<i>Ion</i>, qui peut juger qui parle bien et qui parle mal d'un même sujet ?	<b>Le même homme, celui qui possède l'art de ce sujet : il juge le bon praticien comme le mauvais.</b><br>Le calculateur pour les nombres, le médecin pour les aliments sains. Premier critère de la technè : qui la possède juge tout son domaine.<br><small>Réf. : <i>Ion</i> 531d-532a</small>	platon ion notions theme2-creation	pla-003
Selon l'<i>Ion</i>, deux arts différents peuvent-ils connaître le même objet ?	<b>Non : chaque art a reçu du dieu un objet propre, et ce qu'on connaît par un art, on ne peut le connaître par un autre.</b><br>Exemple : le pilotage et la médecine. Second critère de la technè.<br><small>Réf. : <i>Ion</i> 537c-538a</small>	platon ion notions theme2-creation	pla-004
Que signifie l'enthousiasme du poète dans l'<i>Ion</i> ?	<b>Avoir le dieu en soi (<i>entheos</i>) : le poète compose possédé, hors de lui, privé de sa raison.</b><br>Socrate le compare aux Corybantes, qui dansent hors d'eux, et aux Bacchantes qui, possédées, puisent du lait et du miel dans les fleuves.<br><small>Réf. : <i>Ion</i> 533e-534b</small>	platon ion notions theme2-creation	pla-005
Que signifie <i>mimèsis</i>, et quel sens le mot prend-il au livre X de la <i>République</i> ?	<b>Imitation, ou représentation : au livre X, toute production d'apparences, peinture comme poésie, sans connaissance de la réalité.</b><br>Le livre III (hors programme, pour mémoire) l'étudiait surtout comme manière de raconter en faisant parler les personnages.<br><small>Réf. : <i>Rép.</i> X, 595a-598b ; livre III, 392c-398b</small>	platon republique-x notions theme2-creation	pla-006
Sur quel poète Ion se dit-il compétent, et que lui arrive-t-il devant les autres ?	<b>Sur Homère seul, qui lui suffit ; quand on parle d'un autre poète, il s'assoupit.</b><br>Dès qu'il est question d'Homère, il se réveille et a beaucoup à dire.<br><small>Réf. : <i>Ion</i> 531a ; 532b-c</small>	platon ion fil theme2-creation	pla-007
Pourquoi une compétence limitée à Homère prouve-t-elle qu'Ion n'a pas d'art ?	<b>Parce que la poésie forme un tout : qui en jugerait par art saurait juger tous les poètes.</b><br>Personne ne sait juger un seul peintre ou un seul sculpteur sans savoir juger les autres. Ion ne parle donc d'Homère ni par art ni par science.<br><small>Réf. : <i>Ion</i> 532c-533c</small>	platon ion fil theme2-creation	pla-008
Quelle image Socrate emploie-t-il pour expliquer le talent d'Ion ?	<b>L'aimant (la pierre d'Héraclée), qui attire des anneaux de fer et leur communique sa force.</b><br>Les anneaux en attirent d'autres à leur tour et forment une longue chaîne. De même, la Muse inspire les poètes, qui transmettent l'inspiration à d'autres.<br><small>Réf. : <i>Ion</i> 533d-e</small>	platon ion fil theme2-creation	pla-009
Dans la chaîne aimantée de l'<i>Ion</i>, qui est le premier anneau, celui du milieu et le dernier ?	<b>Le poète est le premier anneau, le rhapsode ou l'acteur celui du milieu, le spectateur le dernier.</b><br>À travers toute la chaîne, c'est le dieu qui entraîne l'âme des hommes où il veut.<br><small>Réf. : <i>Ion</i> 535e-536a</small>	platon ion fil theme2-creation	pla-010
D'après l'image de l'aimant, pourquoi Ion ne s'éveille-t-il qu'à Homère ?	<b>Parce que chaque rhapsode est suspendu à un poète : Ion est possédé par Homère.</b><br>De même, les Corybantes ne sont sensibles qu'au chant du dieu qui les possède.<br><small>Réf. : <i>Ion</i> 536a-d</small>	platon ion fil theme2-creation	pla-011
Formule (<i>Ion</i> 534b) : comment Socrate définit-il le poète ?	<b>Le poète est chose légère, ailée et sacrée.</b><br>Il ne peut composer qu'inspiré, hors de lui ; tant qu'il garde sa raison, il en est incapable.<br><small>Réf. : <i>Ion</i> 534b. Mots exacts de ta traduction : à recopier ici [à vérifier dans ton édition]</small>	platon ion fil formule a-verifier theme2-creation	pla-012
Selon l'<i>Ion</i>, pourquoi chaque poète ne réussit-il que dans un seul genre ?	<b>Parce qu'il compose par dispensation divine (<i>theia moira</i>), non par art.</b><br>Chacun ne réussit que dans le genre où la Muse le pousse (dithyrambe, éloge, épopée, iambes…) ; s'il composait par art, il saurait traiter tous les sujets.<br><small>Réf. : <i>Ion</i> 534b-c</small>	platon ion fil theme2-creation	pla-013
Pourquoi, selon Socrate, le dieu ôte-t-il leur raison aux poètes ?	<b>Pour que nous sachions que ce ne sont pas eux qui parlent : c'est le dieu lui-même qui nous parle par leur bouche.</b><br>Il se sert d'eux comme de serviteurs, à la manière des devins et des prophètes.<br><small>Réf. : <i>Ion</i> 534c-d</small>	platon ion fil theme2-creation	pla-014
Qui est Tynnichos de Chalcis, et que prouve son exemple ?	<b>Un poète médiocre, auteur d'un seul poème mémorable : un péan que tous chantent, dont il attribue l'invention aux Muses.</b><br>Preuve que les beaux poèmes sont divins : le dieu a exprès chanté le plus beau des chants par le plus médiocre des poètes.<br><small>Réf. : <i>Ion</i> 534d-535a</small>	platon ion fil theme2-creation	pla-015
Formule (<i>Ion</i> 534e-535a) : que sont les poètes pour les dieux, et les rhapsodes pour les poètes ?	<b>Les poètes sont les interprètes des dieux ; les rhapsodes, des interprètes d'interprètes.</b><br><small>Réf. : <i>Ion</i> 534e-535a. Mots exacts de ta traduction : à recopier ici [à vérifier dans ton édition]</small>	platon ion fil formule a-verifier theme2-creation	pla-016
Que ressent Ion quand il récite un passage pitoyable ou terrible ?	<b>Il est hors de lui : aux passages pitoyables, ses yeux s'emplissent de larmes ; aux passages terribles, ses cheveux se dressent et son cœur bondit.</b><br>Preuve pour Socrate : il pleure, paré d'or, en pleine fête, sans avoir rien perdu.<br><small>Réf. : <i>Ion</i> 535b-d</small>	platon ion fil theme2-creation	pla-017
Pourquoi Ion surveille-t-il de près les spectateurs pendant qu'il récite ?	<b>Pour son argent : s'il les fait pleurer, il rira en touchant son salaire ; s'ils rient, c'est lui qui pleurera.</b><br>Du haut de l'estrade, il les voit pleurer et frémir avec lui.<br><small>Réf. : <i>Ion</i> 535d-e</small>	platon ion fil theme2-creation	pla-018
Quels passages d'Homère Socrate soumet-il à des spécialistes plutôt qu'au rhapsode ?	<b>La course de chars (conseils de Nestor à Antiloque), le breuvage donné à Machaon blessé, la pêche, la divination.</b><br>À chaque fois, le cocher, le médecin, le pêcheur ou le devin juge mieux que le rhapsode si Homère parle bien.<br><small>Réf. : <i>Ion</i> 537a-539d</small>	platon ion fil theme2-creation	pla-019
Quels passages d'Homère relèvent, selon Ion, de l'art du rhapsode ?	<b>D'abord tous ; puis, repris par Socrate, ce qu'il convient à chacun de dire : homme ou femme, esclave ou homme libre, subordonné ou chef.</b><br>Or chaque art a son objet propre : celui du rhapsode ne peut pas tout couvrir.<br><small>Réf. : <i>Ion</i> 539e-540b</small>	platon ion fil theme2-creation	pla-020
Quel art Ion finit-il par revendiquer, et que conclut-il sur lui-même ?	<b>L'art du stratège : bon rhapsode, il serait bon général ; meilleur rhapsode de Grèce, il en serait le meilleur général.</b><br>Socrate a écarté les autres cas (pilote, médecin, bouvier, fileuse) ; reste le discours du général qui exhorte ses troupes.<br><small>Réf. : <i>Ion</i> 540b-541b</small>	platon ion fil theme2-creation	pla-021
Pourquoi Ion, s'il est le meilleur général, ne commande-t-il pas d'armée ?	<b>Son excuse : Éphèse est soumise à Athènes, et ni Athènes ni Sparte ne le choisiraient.</b><br>Elle tombe : Athènes a déjà confié le commandement à des étrangers compétents, comme Apollodore de Cyzique.<br><small>Réf. : <i>Ion</i> 541b-d</small>	platon ion fil theme2-creation	pla-022
Quel dilemme final Socrate pose-t-il à Ion, et que choisit Ion ?	<b>Injuste ou divin : Ion choisit d'être tenu pour divin, titre plus beau.</b><br>S'il a un art, il est injuste de se dérober, tel Protée, au lieu de le montrer ; sinon, il parle d'Homère par dispensation divine, sans savoir.<br><small>Réf. : <i>Ion</i> 541e-542b</small>	platon ion fil theme2-creation	pla-023
Au début du livre X, pourquoi Socrate revient-il sur l'exclusion de la poésie imitative ?	<b>La distinction des parties de l'âme (livre IV) confirme qu'on a eu raison de l'exclure.</b><br>Elle ruine l'esprit des auditeurs qui n'ont pas l'antidote (<i>pharmakon</i>) : savoir ce que sont réellement les choses.<br><small>Réf. : <i>Rép.</i> X, 595a-b</small>	platon republique-x fil theme2-creation	pla-024
Formule (<i>Rép.</i> X 595c) : quel principe Socrate oppose-t-il à son affection d'enfance pour Homère ?	<b>On ne doit pas honorer un homme plus que la vérité.</b><br>Homère est pourtant, à ses yeux, le premier maître et le guide de toutes les beautés de la tragédie.<br><small>Réf. : <i>Rép.</i> X, 595b-c. Mots exacts de ta traduction : à recopier ici [à vérifier dans ton édition]</small>	platon republique-x fil formule a-verifier theme2-creation	pla-025
Quel artisan capable de tout produire Socrate décrit-il au livre X, et quel est son secret ?	<b>Un artisan qui ferait tout : objets, plantes, animaux, lui-même, la terre, le ciel, les dieux ; Glaucon y voit un sophiste prodigieux.</b><br>Son secret : un miroir promené partout, qui produit tout, mais en apparence seulement. Le peintre est un producteur de ce genre.<br><small>Réf. : <i>Rép.</i> X, 596c-e</small>	platon republique-x fil theme2-creation	pla-026
Quels sont les trois lits de <i>Rép.</i> X ?	<b>Le lit par nature (la Forme du lit), le lit fabriqué par le menuisier, le lit peint par le peintre.</b><br>Le menuisier fabrique en regardant vers la Forme ; le peintre copie le lit du menuisier, non la Forme.<br><small>Réf. : <i>Rép.</i> X, 596b ; 597b ; 598a</small>	platon republique-x fil theme2-creation	pla-027
Dans <i>Rép.</i> X, qui mérite vraiment le titre de créateur du lit ?	<b>Le dieu seul, producteur par nature (<i>phytourgos</i>) du lit unique, la Forme ; le menuisier n'est que fabricant (<i>dèmiourgos</i>).</b><br>Le peintre n'est même pas fabricant ou producteur (<i>poiètès</i>, qui veut aussi dire poète) : seulement imitateur (<i>mimètès</i>).<br><small>Réf. : <i>Rép.</i> X, 597b-e</small>	platon republique-x fil theme2-creation	pla-028
Pourquoi le dieu n'a-t-il fait qu'un seul lit par nature ?	<b>S'il en avait fait deux, il en apparaîtrait un troisième dont ces deux-là auraient la forme : c'est lui qui serait le lit véritable.</b><br>Voulant être l'auteur du lit qui est réellement, et non d'un lit particulier, le dieu l'a fait unique.<br><small>Réf. : <i>Rép.</i> X, 597c-d</small>	platon republique-x fil theme2-creation	pla-029
Formule (<i>Rép.</i> X 597e) : à quel rang se trouvent l'imitateur et le poète tragique par rapport à la vérité ?	<b>Au troisième rang à partir du roi et de la vérité, la Forme comptant pour le premier.</b><br>Forme (œuvre du dieu), lit du menuisier, image du peintre : l'imitateur produit la troisième.<br><small>Réf. : <i>Rép.</i> X, 597e. Mots exacts de ta traduction : à recopier ici [à vérifier dans ton édition]</small>	platon republique-x fil formule a-verifier theme2-creation	pla-030
Le peintre imite-t-il le lit tel qu'il est ? Qu'en déduit Socrate ?	<b>Non : il l'imite tel qu'il apparaît, sous un certain angle ; il imite une apparence (<i>phantasma</i>), non la vérité.</b><br>C'est pourquoi l'art d'imiter peut tout produire : il ne touche qu'une petite partie de chaque chose, et ce n'est qu'une apparence.<br><small>Réf. : <i>Rép.</i> X, 598a-b</small>	platon republique-x fil theme2-creation	pla-031
Que faut-il penser, selon Socrate, de qui dit avoir rencontré un homme qui sait tout ?	<b>Qu'il est naïf : il est tombé sur un charlatan (<i>goès</i>) et imitateur, qui l'a trompé.</b><br>Faute de savoir distinguer science, ignorance et imitation, il l'a cru omniscient ; de même, un bon peintre trompe de loin enfants et naïfs.<br><small>Réf. : <i>Rép.</i> X, 598b-d</small>	platon republique-x fil theme2-creation	pla-032
Sur quels sujets Socrate interroge-t-il Homère, et à quels modèles le compare-t-il ?	<b>Sur les plus grandes choses : la guerre, le gouvernement des cités, l'éducation des hommes.</b><br>Aucune cité ne lui doit ses lois comme Sparte à Lycurgue ou Athènes à Solon ; aucune guerre, aucune invention, aucun disciple à la manière de Pythagore.<br><small>Réf. : <i>Rép.</i> X, 599c-600b</small>	platon republique-x fil theme2-creation	pla-033
Quel argument Socrate tire-t-il de Protagoras et de Prodicos ?	<b>Ces sophistes étaient si chéris de leurs disciples qu'on les aurait presque portés sur la tête ; Homère, lui, errait de ville en ville en rhapsode.</b><br>S'il avait su rendre les hommes meilleurs, ses contemporains ne l'auraient pas laissé partir.<br><small>Réf. : <i>Rép.</i> X, 600c-e</small>	platon republique-x fil theme2-creation	pla-034
Formule (<i>Rép.</i> X 600e) : quelle conclusion Socrate tire-t-il sur tous les poètes, à commencer par Homère ?	<b>Ce sont des imitateurs d'images (<i>eidôla</i>) de la vertu, qui n'atteignent pas la vérité.</b><br><small>Réf. : <i>Rép.</i> X, 600e. Mots exacts de ta traduction : à recopier ici [à vérifier dans ton édition]</small>	platon republique-x fil formule a-verifier theme2-creation	pla-035
Usage, fabrication, imitation : que sait chacun des trois, selon <i>Rép.</i> X ?	<b>L'usager a la science ; le fabricant, une croyance droite (<i>pistis orthè</i>) ; l'imitateur, ni l'une ni l'autre.</b><br>Le joueur d'aulos renseigne le facteur d'instruments, qui fabrique d'après ses indications.<br><small>Réf. : <i>Rép.</i> X, 601c-602a</small>	platon republique-x fil theme2-creation	pla-036
Quel statut Socrate accorde-t-il finalement à l'imitation ?	<b>Un jeu, pas une activité sérieuse.</b><br>L'imitateur ne sait rien qui vaille de ce qu'il imite ; il reproduit ce qui paraît beau à la foule ignorante.<br><small>Réf. : <i>Rép.</i> X, 602b</small>	platon republique-x fil theme2-creation	pla-037
Quelles illusions des sens Socrate invoque-t-il, et qui les exploite ?	<b>Une même grandeur paraît autre de près et de loin ; un objet droit paraît brisé dans l'eau ; le concave paraît convexe.</b><br>La peinture à effets d'ombre (<i>skiagraphia</i>) et la prestidigitation exploitent cette faiblesse, comme une sorcellerie (<i>goèteia</i>).<br><small>Réf. : <i>Rép.</i> X, 602c-d</small>	platon republique-x fil theme2-creation	pla-038
Quel remède Socrate oppose-t-il aux illusions des sens ?	<b>Mesurer, compter, peser : c'est l'œuvre de la partie de l'âme qui calcule (<i>logistikon</i>).</b><br>C'est la meilleure partie de l'âme ; ce qui contredit la mesure relève d'une partie inférieure.<br><small>Réf. : <i>Rép.</i> X, 602d-603a</small>	platon republique-x fil theme2-creation	pla-039
Formule (<i>Rép.</i> X 603b) : comment Socrate résume-t-il la nature de l'art d'imiter ?	<b>Chose inférieure, unie à une partie inférieure de nous, elle engendre des fruits inférieurs.</b><br><small>Réf. : <i>Rép.</i> X, 603a-b. Mots exacts de ta traduction : à recopier ici [à vérifier dans ton édition]</small>	platon republique-x fil formule a-verifier theme2-creation	pla-040
À quelle partie de l'âme la poésie imitative s'adresse-t-elle, et pourquoi ?	<b>À la partie irrationnelle (<i>alogiston</i>), qui ressasse la souffrance et ne se rassasie pas de plaintes.</b><br>Le caractère emporté et changeant est facile à imiter et plaît à la foule ; le caractère sage et calme, non.<br><small>Réf. : <i>Rép.</i> X, 603a-b ; 604d-605a. Prudence : ne la calque pas d'office sur la tripartition du livre IV.</small>	platon republique-x fil theme2-creation	pla-041
