#separator:tab
#html:true
#tags column:3
#guid column:4
#deck:Français PT*::Thème 1 Nature::Canguilhem
Qui est Georges Canguilhem, l'auteur de <i>La Connaissance de la vie</i> ?	<b>Un philosophe et médecin français (1904-1995), historien des sciences de la vie.</b><br>Son livre est un recueil d'études (Hachette, 1952 ; 2e éd. augmentée, Vrin, 1965). Ne confonds pas III, 4 avec son <i>Essai</i> sur le normal et le pathologique (1943).<br><small>Réf. : présentation de l'auteur ; éditions de 1952 et 1965 [non vérifié]</small>	theme1 canguilhem essentiel	can-001
Quelle idée d'ensemble relie les textes de Canguilhem au programme ?	<b>Le vivant est original : il faut le penser à partir de lui-même.</b><br>Ni machine ni simple objet de physique, le vivant est un centre qui compose son milieu et institue ses propres normes.<br><small>Réf. : synthèse des textes au programme (interprétation) [non vérifié]</small>	theme1 canguilhem essentiel	can-004
Selon « Le normal et le pathologique », qu'est-ce qu'être en bonne santé ?	<b>Être normatif : pouvoir instituer de nouvelles normes de vie quand les conditions changent.</b><br>Le normal n'est donc pas une moyenne statistique, mais une norme que le vivant institue. Canguilhem appelle ce pouvoir la normativité.<br><small>Réf. : III, 4, Le normal et le pathologique [non vérifié]</small>	theme1 canguilhem essentiel	can-010
Quelle thèse Canguilhem défend-il dans « Le vivant et son milieu » ?	<b>Le vivant ne subit pas son milieu : il le compose autour de lui.</b><br>« Le propre du vivant, c'est de se faire son milieu » [à vérifier dans ton édition]. Appuis : Uexküll et le neurologue Goldstein, pour qui ce rapport est un « débat ».<br><small>Réf. : III, 3, Le vivant et son milieu [non vérifié]</small>	theme1 canguilhem essentiel	can-009
Quel renversement Canguilhem opère-t-il dans « Machine et organisme » ?	<b>Comprendre la machine à partir de l'organisme, et non l'inverse.</b><br>La tradition mécaniste, depuis l'animal-machine de Descartes, explique le vivant par la machine. Pour Canguilhem, la machine est un produit de l'activité technique du vivant humain.<br><small>Réf. : III, 2, Machine et organisme [non vérifié]</small>	theme1 canguilhem essentiel	can-008
En quel sens la vie est-elle « expérience », selon « Machine et organisme » ?	<b>Elle improvise, utilise les occasions, tente dans tous les sens.</b><br>D'où les monstres : la vie les tolère, alors qu'il n'y a pas de machine monstre. Mot clé pour relier Canguilhem à l'intitulé du thème.<br><small>Réf. : III, 2, Machine et organisme [non vérifié] ; formules « la vie est expérience » et « pas de machine monstre » [à vérifier dans ton édition]</small>	theme1 canguilhem essentiel	can-033
Quelle différence Canguilhem fait-il entre la monstruosité et le monstrueux ?	<b>Monstruosité : anomalie réelle d'un vivant, objet de science ; monstrueux : catégorie de l'imaginaire.</b><br>Le monstrueux mêle effroi et fascination. « La vie est pauvre en monstres. Le fantastique est un monde » [à vérifier dans ton édition].<br><small>Réf. : III, 5, La monstruosité et le monstrueux [non vérifié]</small>	theme1 canguilhem essentiel	can-011
Quelle thèse Canguilhem défend-il dans « L'expérimentation en biologie animale » ?	<b>L'expérimentation, indispensable, doit respecter l'originalité du vivant, sans copier la physique.</b><br>Il part de Claude Bernard (<i>Introduction à l'étude de la médecine expérimentale</i>, 1865), montre les obstacles propres au vivant, puis les limites morales de l'expérimentation humaine.<br><small>Réf. : I, L'expérimentation en biologie animale [non vérifié]</small>	theme1 canguilhem essentiel	can-007
Quel problème pose l'Introduction de Canguilhem, « La pensée et le vivant » ?	<b>Comment la pensée, activité d'un vivant, peut-elle connaître la vie sans la trahir ?</b><br>Le texte s'ouvre sur l'idée que connaître, c'est analyser, donc décomposer ; or celui qui connaît est lui-même un vivant.<br><small>Réf. : Introduction, La pensée et le vivant [non vérifié]</small>	theme1 canguilhem essentiel	can-005
D'où naît la connaissance, selon l'Introduction « La pensée et le vivant » ?	<b>De la vie : elle sert à résoudre les tensions entre l'homme et son milieu.</b><br>Connaître est une conduite du vivant humain, née des obstacles que le milieu lui oppose. La connaissance n'est donc pas extérieure à la vie.<br><small>Réf. : Introduction, La pensée et le vivant [non vérifié]</small>	theme1 canguilhem essentiel	can-006
Quelle ambiguïté Canguilhem relève-t-il dans le sens du mot « normal » ?	<b>Il désigne tantôt un fait mesurable, la moyenne, tantôt une valeur, un idéal.</b><br>Confondre les deux, c'est faire de ce qui est fréquent ce qui doit être. Pour Canguilhem, la moyenne peut signaler une norme, elle ne la fonde pas.<br><small>Réf. : III, 4, Le normal et le pathologique, début [non vérifié]</small>	theme1 canguilhem notion	can-020
Qu'est-ce que la maladie, selon « Le normal et le pathologique » ?	<b>Encore une norme de vie, mais une norme inférieure : elle ne tolère plus aucun écart.</b><br>Le malade vit encore selon une norme, mais ne peut plus en changer. Goldstein : il se replie sur un milieu rétréci, pour éviter les réactions catastrophiques.<br><small>Réf. : III, 4, Le normal et le pathologique [non vérifié] ; « norme inférieure » et repli du malade : sûrs dans l'<i>Essai</i> de 1943, présence en III, 4 [à vérifier dans ton édition]</small>	theme1 canguilhem notion	can-021
Que désigne l'Umwelt du biologiste Uexküll, repris par Canguilhem ?	<b>Le milieu propre d'un animal, distinct de l'environnement géographique (Umgebung).</b><br>L'Umwelt ne retient de l'environnement que les signaux qui ont un sens vital pour l'animal : c'est un milieu centré sur lui.<br><small>Réf. : III, 3, Le vivant et son milieu [non vérifié]</small>	theme1 canguilhem notion	can-019
Quelle conception du milieu Canguilhem conteste-t-il dans « Le vivant et son milieu » ?	<b>La conception mécanique : le milieu agit du dehors, le vivant ne fait que réagir.</b><br>La notion vient de la mécanique de Newton, puis passe en biologie avec Lamarck et Comte. Canguilhem la renverse : c'est le vivant qui compose son milieu.<br><small>Réf. : III, 3, Le vivant et son milieu [non vérifié]</small>	theme1 canguilhem notion	can-018
Quelle faiblesse Canguilhem relève-t-il dans la théorie cartésienne de l'animal-machine ?	<b>Elle suppose un constructeur, Dieu, et un modèle vivant à imiter.</b><br>La finalité n'est donc pas supprimée, seulement reportée sur l'ingénieur. Le mécanisme explique comment une machine fonctionne, non comment elle a été construite.<br><small>Réf. : III, 2, Machine et organisme [non vérifié]</small>	theme1 canguilhem notion	can-015
Quelles capacités distinguent l'organisme de la machine, selon « Machine et organisme » ?	<b>La vicariance (un organe en supplée un autre) et la polyvalence des organes.</b><br>La finalité d'une machine est rigide, fixée d'avance ; l'organisme a « moins de finalité et plus de potentialités » [à vérifier dans ton édition].<br><small>Réf. : III, 2, Machine et organisme [non vérifié]</small>	theme1 canguilhem notion	can-016
Pourquoi le monstre est-il, pour Canguilhem, un vivant de valeur négative ?	<b>Parce qu'il montre la vie échouant à réaliser une forme viable.</b><br>La mort menace tout vivant ; le monstre, lui, rate sa formation. D'où l'idée que la monstruosité, non la mort, est la « contre-valeur vitale » [à vérifier dans ton édition].<br><small>Réf. : III, 5, La monstruosité et le monstrueux [non vérifié]</small>	theme1 canguilhem notion	can-022
Quelle science fait des monstres un objet de savoir au XIXe siècle ?	<b>La tératologie, avec les Geoffroy Saint-Hilaire.</b><br>Le monstre devient une anomalie du développement, soumise à des lois : la monstruosité s'explique, le monstrueux reste du côté de l'imaginaire.<br><small>Réf. : III, 5, La monstruosité et le monstrueux [non vérifié]</small>	theme1 canguilhem notion	can-023
Quels deux obstacles empêchent d'étendre un résultat d'une espèce ou d'un individu à l'autre ?	<b>La spécificité (les espèces diffèrent) et l'individualisation (les individus diffèrent).</b><br>Ce qui vaut pour l'animal ne vaut pas forcément pour l'homme. Canguilhem distingue quatre obstacles ; ce regroupement par deux est fait pour la carte.<br><small>Réf. : I, L'expérimentation en biologie animale [non vérifié]</small>	theme1 canguilhem notion	can-012
Quels deux obstacles empêchent d'isoler un organe ou de refaire la même expérience sur un vivant ?	<b>La totalité (l'organisme forme un tout) et l'irréversibilité (il se développe sans retour).</b><br>Isoler un organe fausse son fonctionnement. Et l'organisme se développe et vieillit : on ne peut pas le remettre dans l'état initial pour refaire l'expérience.<br><small>Réf. : I, L'expérimentation en biologie animale [non vérifié]</small>	theme1 canguilhem notion	can-013
Quel problème pose l'expérimentation sur l'homme, selon Canguilhem ?	<b>Elle éviterait d'extrapoler depuis l'animal, mais se heurte à des normes morales.</b><br>Claude Bernard l'admettait si elle ne pouvait pas nuire au patient. Canguilhem juge ce critère moins solide que Bernard ne le croyait [raison à vérifier dans ton édition].<br><small>Réf. : I, L'expérimentation en biologie animale [non vérifié]</small>	theme1 canguilhem notion	can-014
Quelle formule de l'Introduction résume l'exigence de penser le vivant à partir de lui ?	<b>« La pensée du vivant doit tenir du vivant l'idée du vivant »</b> [à vérifier dans ton édition]<br>Même idée : l'intelligence ne s'applique à la vie qu'en reconnaissant son originalité. Formule utile dans toute dissertation du thème.<br><small>Réf. : Introduction, La pensée et le vivant, fin [non vérifié]</small>	theme1 canguilhem scene	can-024
Quelle formule de l'Introduction oppose le mathématicien au biologiste ?	<b>Pour les mathématiques, des anges suffiraient ; la biologie exige parfois de « nous sentir bêtes ».</b> [à vérifier dans ton édition]<br>Bêtes : des animaux, pas de pures intelligences. Le biologiste doit se reconnaître vivant, comme ce qu'il étudie.<br><small>Réf. : Introduction, La pensée et le vivant, fin [non vérifié]</small>	theme1 canguilhem scene	can-034
Quelle formule de « Le vivant et son milieu » refuse de réduire le vivant à ce qui l'entoure ?	<b>« Un centre ne se résout pas dans son environnement »</b> [à vérifier dans ton édition]<br>Canguilhem ajoute qu'un vivant ne se réduit pas à un carrefour d'influences : il n'est pas un simple effet de son milieu.<br><small>Réf. : III, 3, Le vivant et son milieu [non vérifié]</small>	theme1 canguilhem scene	can-027
Quels signaux la tique d'Uexküll retient-elle de tout son environnement ?	<b>L'odeur des mammifères, leur chaleur et le contact de leurs poils.</b><br>L'odeur (acide butyrique) la fait tomber ; chaleur et toucher la mènent à la peau nue. La lumière sert seulement à grimper. Leçon : un milieu réduit aux signaux vitaux.<br><small>Réf. : III, 3, Le vivant et son milieu, exemple repris d'Uexküll ; signaux retenus par Canguilhem [non vérifié]</small>	theme1 canguilhem scene	can-026
Quelle découverte de Claude Bernard Canguilhem prend-il comme exemple d'expérimentation ?	<b>La fonction glycogénique du foie : le foie fabrique du sucre.</b><br>Leçon : la fonction ne se déduit pas de la structure. Bernard dose le sucre du sang en divers points, chez un animal à jeun, et remonte au foie.<br><small>Réf. : I, L'expérimentation en biologie animale [non vérifié]</small>	theme1 canguilhem scene	can-025
À quoi sert Canguilhem dans une dissertation sur « Expériences de la nature » ?	<b>À fournir des concepts (milieu, normativité, monstruosité) pour éclairer les deux romans.</b><br>Ne résume pas Canguilhem : définis le concept en une phrase, puis fais-le travailler sur une scène précise de Verne ou de Haushofer.<br><small>Réf. : échantillon 06, § 5 (ce qu'un correcteur valoriserait) ; PROGRAMME.md, § 3</small>	theme1 canguilhem methode-dissertation	can-035
Quel épisode de Verne illustre le passage du monstrueux imaginaire à l'explication savante ?	<b>Le « monstre » du début : monstrueux des journaux, puis narwal classé, enfin machine.</b><br>I, 1 : le monstre devient à la mode, les journaux font reparaître le Kraken. I, 2 : Aronnax penche pour un narwal géant. I, 7 : des plaques boulonnées [rapprochement proposé].<br><small>Réf. : Canguilhem, III, 5 [non vérifié] ; Verne, I, 1 ; I, 2 ; I, 7</small>	theme1 canguilhem croisements verne dissertation	can-028
Comment Verne brouille-t-il la frontière entre machine et organisme avec le <i>Nautilus</i> ?	<b>Il en fait un quasi-vivant : le <i>Nautilus</i> respire, et Nemo l'aime comme sa chair.</b><br>Il remonte respirer « à la façon des baleines » (I, 9) ; l'électricité lui donne « la vie » (I, 12). Canguilhem : chez Descartes, la machine animale suppose un modèle vivant.<br><small>Réf. : Canguilhem, III, 2 [non vérifié] ; Verne, I, 9 ; I, 12 ; I, 13 (citations contrôlées sur le texte Hetzel)</small>	theme1 canguilhem croisements verne dissertation	can-029
