#separator:tab
#html:true
#tags column:3
#guid column:4
#deck:Français PT*::Méthode
Au Français B, combien de points valent le résumé et la dissertation ?	<b>Résumé : 8 points ; dissertation : 12 points.</b><br>Le sujet de dissertation est tiré du texte que tu résumes. La dissertation pèse le plus : ne la sacrifie jamais au résumé.<br><small>Réf. : PROGRAMME.md, § 3 (barème et structure de l'épreuve, confiance élevée)</small>	methode essentiel	met-001
Au Français B, à quelle heure au plus tard passes-tu du résumé à la dissertation ?	<b>À 1 h 40, même si ton résumé n'est pas fini.</b><br>C'est un conseil, pas une règle du jury. Répartition visée : 1 h 30 pour le résumé, 2 h 30 pour la dissertation.<br><small>Réf. : fiche méthode P3, § 2 (limite dure de 1 h 40) ; PROGRAMME.md, § 3 (répartition indicative)</small>	methode essentiel	met-029
Dans ton résumé, à la place de qui écris-tu ?	<b>À la place de l'auteur : jamais « l'auteur dit » ni « dans un premier temps ».</b><br>Écris directement sa pensée : « L'art n'est pas… ». Garde son « je » ou son « nous ». Rien de toi : ni avis, ni ajout, ni œuvre au programme.<br><small>Réf. : fiche méthode P3, § 1.1 (énonciation) ; § 4, erreurs 3 et 4</small>	methode resume	met-007
Sur quoi ta dissertation doit-elle s'appuyer essentiellement ?	<b>Sur les œuvres au programme, avec des exemples précis et localisés.</b><br>Une référence extérieure ne vient qu'en appoint. Le texte résumé te fournit des arguments, mais tes exemples viennent des œuvres.<br><small>Réf. : PROGRAMME.md, § 3 (confiance élevée) ; fiche méthode P3, § 6</small>	methode methode-dissertation	met-031
Résumé imposé en 180 mots : quelle est ta fourchette autorisée ?	<b>180 ± 10 %, soit de 162 à 198 mots.</b><br>La règle vaut pour tout nombre imposé : pour 200 mots, de 180 à 220. Écris ta fourchette en haut du brouillon, puis vise le centre.<br><small>Réf. : PROGRAMME.md, § 3 (tolérance de ± 10 %) ; fiche méthode P3, § 1.2</small>	methode resume	met-003
Quels sont les trois temps d'un paragraphe de développement ?	<b>L'idée, des exemples précis et analysés, le retour au sujet.</b><br>Commence par l'idée, jamais par l'exemple. Prends tes exemples dans au moins deux œuvres et localise-les (partie, chapitre, section).<br><small>Réf. : corrigé de dissertation P6, § 1, étape 8 et § 3 (argument, exemples localisés, bilan)</small>	methode methode-dissertation	met-018
Quelle pénalité coûte un résumé dont le nombre de mots sort de la fourchette ?	<b>1 point par tranche de 10 mots hors fourchette.</b><br>Trop long ou trop court : même pénalité, doublée si le total annoncé est faux. Exemple du jury : 40 mots de trop dissimulés coûtent les 8 points.<br><small>Réf. : rapports du jury Français B 2010, 2012, 2017-2018 et 2022 (extraits lus par recherche web, PDF non ouverts) ; PROGRAMME.md, § 3 ; fiche méthode P3, § 1.2 [non vérifié]</small>	methode resume	met-004
Quel type de plan est à proscrire dans une dissertation sur programme ?	<b>Le plan par œuvre : une grande partie consacrée à chaque œuvre.</b><br>I Verne, II Canguilhem, III Haushofer : c'est un catalogue, pas une dissertation. Confronte les œuvres dans chaque partie, autour d'une même idée.<br><small>Réf. : corrigé de dissertation P6, § 1, étape 8 et § 5 (erreurs à éviter) ; attendu classique des jurys, à confirmer dans un rapport Banque PT [non vérifié]</small>	methode methode-dissertation	met-020
Que deviennent les exemples du texte dans ton résumé ?	<b>Ils disparaissent ; seule reste l'idée qu'ils prouvent.</b><br>Demande-toi : de quoi cet exemple est-il la preuve ? Garde la réponse, supprime noms propres et anecdotes. Une énumération devient un terme général.<br><small>Réf. : fiche méthode P3, § 3 (techniques de condensation) ; § 4, erreur 8</small>	methode resume	met-008
Au brouillon, que fais-tu de chaque mot important du sujet ?	<b>Tu le définis et tu distingues ses différents sens.</b><br>Relie chaque sens à une œuvre. Ex. : « expérience » = expérimenter (Canguilhem), explorer (Aronnax), éprouver (la narratrice). L'écart entre les sens fait naître le problème.<br><small>Réf. : corrigé de dissertation P6, § 1, étape 2 ; analyse des termes attendue : rapport Français B 2022 (extraits lus par recherche web)</small>	methode methode-dissertation	met-014
